Name,Year
A Place in the Sun ,1951
Bright Victory,1951
Detective Story,1951
Quo Vadis ,1951
A Streetcar Named Desire ,1951
The Greatest Show on Earth ,1952
"Come Back, Little Sheba",1952
The Happy Time,1952
High Noon ,1952
The Thief,1952
The Robe ,1953
On the Waterfront ,1954
East of Eden,1955
Around the World in 80 Days ,1956
Giant ,1956
Lust for Life,1956
The Rainmaker,1956
War and Peace,1956
The Bridge on the River Kwai ,1957
12 Angry Men ,1957
Sayonara ,1957
Wild Is the Wind,1957
Witness for the Prosecution ,1957
The Defiant Ones ,1958
Cat on a Hot Tin Roof ,1958
Home Before Dark,1958
I Want to Live!,1958
Separate Tables ,1958
Ben-Hur ,1959
Anatomy of a Murder ,1959
The Diary of Anne Frank ,1959
The Nun's Story ,1959
On the Beach,1959
Spartacus,1960
Elmer Gantry ,1960
Inherit the Wind,1960
Sons and Lovers ,1960
Sunrise at Campobello,1960
The Guns of Navarone ,1961
El Cid,1961
Fanny ,1961
Judgment at Nuremberg ,1961
Splendor in the Grass,1961
Lawrence of Arabia ,1962
The Chapman Report,1962
Days of Wine and Roses,1962
Freud,1962
Hemingway's Adventures of a Young Man,1962
Lisa,1962
The Longest Day ,1962
The Miracle Worker,1962
Mutiny on the Bounty ,1962
To Kill a Mockingbird ,1962
The Cardinal,1963
America America ,1963
"Captain Newman, M.D.",1963
The Caretakers,1963
Cleopatra ,1963
The Great Escape,1963
Hud,1963
Lilies of the Field ,1963
Becket ,1964
The Chalk Garden,1964
Dear Heart,1964
The Night of the Iguana,1964
Zorba the Greek ,1964
Doctor Zhivago ,1965
The Collector,1965
The Flight of the Phoenix,1965
A Patch of Blue,1965
Ship of Fools ,1965
A Man for All Seasons ,1966
Born Free,1966
The Professionals,1966
The Sand Pebbles ,1966
Who's Afraid of Virginia Woolf? ,1966
In the Heat of the Night ,1967
Bonnie and Clyde ,1967
Far from the Madding Crowd,1967
Guess Who's Coming to Dinner ,1967
In Cold Blood,1967
The Lion in Winter ,1968
Charly,1968
The Fixer,1968
The Heart Is a Lonely Hunter,1968
The Shoes of the Fisherman,1968
Anne of the Thousand Days ,1969
Butch Cassidy and the Sundance Kid ,1969
Midnight Cowboy ,1969
The Prime of Miss Jean Brodie,1969
"They Shoot Horses, Don't They?",1969
Ordinary People ,1980
The Elephant Man ,1980
The Ninth Configuration,1980
Raging Bull ,1980
The Stunt Man,1980
On Golden Pond ,1981
The French Lieutenant's Woman,1981
Prince of the City,1981
Ragtime,1981
Reds ,1981
E.T. the Extra-Terrestrial ,1982
Missing ,1982
An Officer and a Gentleman,1982
Sophie's Choice,1982
The Verdict ,1982
Terms of Endearment ,1983
"Reuben, Reuben",1983
The Right Stuff ,1983
Silkwood,1983
Tender Mercies ,1983
Amadeus ,1984
The Cotton Club,1984
The Killing Fields ,1984
Places in the Heart ,1984
A Soldier's Story ,1984
Out of Africa ,1985
The Color Purple ,1985
Kiss of the Spider Woman ,1985
Runaway Train,1985
Witness ,1985
Platoon ,1986
Children of a Lesser God ,1986
The Mission ,1986
Mona Lisa,1986
A Room with a View ,1986
Stand by Me,1986
The Last Emperor ,1987
Cry Freedom,1987
Empire of the Sun,1987
Fatal Attraction ,1987
La Bamba,1987
Nuts,1987
Rain Man ,1988
The Accidental Tourist ,1988
A Cry in the Dark,1988
Gorillas in the Mist,1988
Mississippi Burning ,1988
Running on Empty,1988
The Unbearable Lightness of Being,1988
Born on the Fourth of July ,1989
Crimes and Misdemeanors,1989
Dead Poets Society ,1989
Do the Right Thing,1989
Glory,1989
Dances with Wolves ,1990
Avalon,1990
The Godfather Part III ,1990
Goodfellas ,1990
Reversal of Fortune,1990
Bugsy ,1991
JFK ,1991
The Prince of Tides ,1991
The Silence of the Lambs ,1991
Thelma & Louise,1991
Scent of a Woman ,1992
The Crying Game ,1992
A Few Good Men ,1992
Howards End ,1992
Unforgiven ,1992
Schindler's List ,1993
The Age of Innocence,1993
In the Name of the Father ,1993
The Piano ,1993
The Remains of the Day ,1993
Forrest Gump ,1994
Legends of the Fall,1994
Nell,1994
Pulp Fiction ,1994
Quiz Show ,1994
Sense and Sensibility ,1995
Apollo 13 ,1995
Braveheart ,1995
The Bridges of Madison County,1995
Leaving Las Vegas,1995
The English Patient ,1996
Breaking the Waves,1996
The People vs. Larry Flynt,1996
Secrets & Lies ,1996
Shine ,1996
Titanic ,1997
Amistad,1997
The Boxer,1997
Good Will Hunting ,1997
L.A. Confidential ,1997
Saving Private Ryan ,1998
Elizabeth ,1998
Gods and Monsters,1998
The Horse Whisperer,1998
The Truman Show,1998
American Beauty ,1999
The End of the Affair,1999
The Hurricane,1999
The Insider ,1999
The Talented Mr. Ripley,1999
Gladiator ,2000
Billy Elliot,2000
Erin Brockovich ,2000
Sunshine,2000
Traffic ,2000
Wonder Boys,2000
A Beautiful Mind ,2001
In the Bedroom ,2001
The Lord of the Rings: The Fellowship of the Ring ,2001
The Man Who Wasn't There,2001
Mulholland Drive,2001
The Hours ,2002
About Schmidt,2002
Gangs of New York ,2002
The Lord of the Rings: The Two Towers ,2002
The Pianist ,2002
The Lord of the Rings: The Return of the King ,2003
Cold Mountain,2003
Master and Commander: The Far Side of the World ,2003
Mystic River ,2003
Seabiscuit ,2003
The Aviator ,2004
Closer,2004
Finding Neverland ,2004
Hotel Rwanda,2004
Kinsey,2004
Million Dollar Baby ,2004
Brokeback Mountain ,2005
The Constant Gardener,2005
"Good Night, and Good Luck ",2005
A History of Violence,2005
Match Point,2005
Babel ,2006
Bobby,2006
The Departed ,2006
Little Children,2006
The Queen ,2006
Atonement ,2007
American Gangster,2007
Eastern Promises,2007
The Great Debaters,2007
Michael Clayton ,2007
No Country for Old Men ,2007
There Will Be Blood ,2007
Slumdog Millionaire ,2008
The Curious Case of Benjamin Button ,2008
Frost/Nixon ,2008
The Reader ,2008
Revolutionary Road,2008
Avatar ,2009
The Hurt Locker ,2009
Inglourious Basterds ,2009
Precious ,2009
Up in the Air ,2009
The Social Network ,2010
Black Swan ,2010
The Fighter ,2010
Inception ,2010
The King's Speech ,2010
The Descendants ,2011
The Help ,2011
Hugo ,2011
The Ides of March,2011
Moneyball ,2011
War Horse ,2011
Argo ,2012
Django Unchained ,2012
Life of Pi ,2012
Lincoln ,2012
Zero Dark Thirty ,2012
12 Years a Slave ,2013
Captain Phillips ,2013
Gravity ,2013
Philomena ,2013
Rush,2013
Boyhood ,2014
Foxcatcher,2014
The Imitation Game ,2014
Selma ,2014
The Theory of Everything ,2014
The Revenant ,2015
Carol,2015
Mad Max: Fury Road ,2015
Room ,2015
Spotlight ,2015
Moonlight ,2016
Hacksaw Ridge ,2016
Hell or High Water ,2016
Lion ,2016
Manchester by the Sea ,2016
The Apartment,1960
The 400 Blows,1960
The Angry Silence,1960
The Adventure,1960
La Dolce Vita,1960
Elmer Gantry,1960
Hiroshima mon amour,1960
Let's Make Love,1960
Black Orpheus,1960
Never on Sunday,1960
Saturday Night and Sunday Morning,1960
Shadows,1960
The Testament of Orpheus,1960
The Trials of Oscar Wilde,1960
Tunes of Glory,1960
Ballad of a Soldier,1961
The Hustler,1961
The World of Apu,1961
The Innocents,1961
Judgment at Nuremberg,1961
The Long and the Short and the Tall,1961
Rocco and His Brothers,1961
The Sundowners,1961
A Taste of Honey,1961
The Hole,1961
Whistle Down the Wind,1961
Lawrence of Arabia,1962
Last Year at Marienbad,1962
Billy Budd,1962
The Elusive Corporal,1962
The Lady with the Dog,1962
The Naked Island,1962
Jules and Jim,1962
A Kind of Loving,1962
The L-Shaped Room,1962
Lola,1962
The Manchurian Candidate,1962
Only Two Can Play,1962
Phaedra,1962
Through a Glass Darkly,1962
Thou Shalt Not Kill,1962
The Long Absence,1962
West Side Story,1962
Tom Jones,1963
8,1963
Billy Liar,1963
David and Lisa,1963
Days of Wine and Roses,1963
"Divorce, Italian Style",1963
Knife in the Water,1963
The Four Days of Naples,1963
The Servant,1963
This Sporting Life,1963
To Kill a Mockingbird,1963
Dr. Strangelove,1964
Becket,1964
The Pumpkin Eater,1964
The Train,1964
My Fair Lady,1965
Hamlet,1965
The Hill,1965
The Knack ...and How to Get It,1965
Zorba the Greek,1965
Who's Afraid of Virginia Woolf?,1966
Doctor Zhivago,1966
Morgan  A Suitable Case for Treatment,1966
The Spy Who Came in From The Cold,1966
A Man For All Seasons,1967
Bonnie and Clyde,1967
In the Heat of the Night,1967
A Man and a Woman,1967
The Graduate,1968
2001: A Space Odyssey,2001
Oliver!,2001
Closely Observed Trains,2001
Midnight Cowboy,1969
Oh! What a Lovely War,1969
Women in Love,1969
Z,1969
Butch Cassidy and the Sundance Kid,1970
Kes,1970
M*A*S*H,1970
Ryan's Daughter,1970
Sunday Bloody Sunday,1971
The Go-Between,1971
Death in Venice,1971
Taking Off,1971
Cabaret,1972
A Clockwork Orange,1972
The French Connection,1972
The Last Picture Show,1972
Day for Night,1973
The Day of the Jackal,1973
The Discreet Charm of the Bourgeoisie,1973
Don't Look Now,1973
Lacombe Lucien,1974
Chinatown,1974
The Last Detail,1974
Murder on the Orient Express,1974
Alice Doesn't Live Here Anymore,1975
Barry Lyndon,1975
Dog Day Afternoon,1975
Jaws,1975
One Flew Over the Cuckoo's Nest,1976
All the President's Men,1976
Bugsy Malone,1976
Taxi Driver,1976
Annie Hall,1977
A Bridge Too Far,1977
Network,1977
Rocky,1977
Julia,1978
Close Encounters of the Third Kind,1978
Midnight Express,1978
Star Wars,1978
Manhattan,1979
Apocalypse Now,1979
The China Syndrome,1979
The Deer Hunter,1979
The Elephant Man,1980
Being There,1980
Kagemusha,1980
Kramer vs. Kramer,1980
Chariots of Fire,1981
Atlantic City,1981
Gregory's Girl,1981
Raiders of the Lost Ark,1981
Gandhi,1982
E.T. the Extra-Terrestrial,1982
Missing,1982
On Golden Pond,1982
Educating Rita,1983
Heat and Dust,1983
Local Hero,1983
Tootsie,1983
The Killing Fields,1984
The Dresser,1984
"Paris, Texas",1984
A Private Function,1984
The Purple Rose of Cairo,1985
Amadeus,1985
Back to the Future,1985
A Passage to India,1985
Witness,1985
A Room with a View,1986
Hannah and Her Sisters,1986
The Mission,1986
Jean de Florette,1987
Hope and Glory,1987
Radio Days,1987
The Last Emperor,1988
Au revoir les enfants,1988
Babette's Feast,1988
A Fish Called Wanda,1988
Dead Poets Society,1989
My Left Foot,1989
Shirley Valentine,1989
When Harry Met Sally...,1989
Goodfellas,1990
Crimes and Misdemeanors,1990
Driving Miss Daisy,1990
Pretty Woman,1990
The Commitments,1991
Dances with Wolves,1991
The Silence of the Lambs,1991
Thelma and Louise,1991
Howards End,1992
The Crying Game,1992
The Player,1992
Strictly Ballroom,1992
Unforgiven,1992
Schindler's List,1993
The Piano,1993
The Remains of the Day,1993
Shadowlands,1993
Four Weddings and a Funeral,1994
Forrest Gump,1994
Pulp Fiction,1994
Quiz Show,1994
Sense and Sensibility,1995
Babe,1995
The Madness of King George,1995
The Usual Suspects,1995
The English Patient,1996
Fargo,1996
Secrets and Lies,1996
Shine,1996
The Full Monty,1997
L.A. Confidential,1997
Mrs Brown,1997
Titanic,1997
Shakespeare in Love,1998
Elizabeth,1998
Saving Private Ryan,1998
American Beauty,1999
East is East,1999
The Sixth Sense,1999
Gladiator,2000
Almost Famous,2000
"Crouching Tiger, Hidden Dragon",2000
Erin Brockovich,2000
The Lord of the Rings: The Fellowship of the Ring,2001
Amlie,2001
A Beautiful Mind,2001
Moulin Rouge!,2001
Shrek,2001
The Pianist,2002
Chicago,2002
Gangs of New York,2002
The Hours,2002
The Lord of the Rings: The Two Towers,2002
The Lord of the Rings: The Return of the King,2003
Big Fish,2003
Lost in Translation,2003
Master and Commander: The Far Side of the World,2003
The Aviator,2004
Eternal Sunshine of the Spotless Mind,2004
Finding Neverland,2004
The Motorcycle Diaries,2004
Vera Drake,2004
Brokeback Mountain,2005
Capote,2005
Crash,2005
"Good Night, and Good Luck",2005
The Queen,2006
Babel,2006
The Departed,2006
The Last King of Scotland,2006
Little Miss Sunshine,2006
Atonement,2007
The Lives of Others,2007
No Country for Old Men,2007
There Will Be Blood,2007
Slumdog Millionaire,2008
The Curious Case of Benjamin Button,2008
Frost/Nixon,2008
Milk,2008
The Reader,2008
The Hurt Locker,2009
Avatar,2009
An Education,2009
Precious,2009
Up in the Air,2009
The King's Speech,2010
Black Swan,2010
Inception,2010
The Social Network,2010
True Grit,2010
The Artist,2011
The Descendants,2011
Drive,2011
The Help,2011
Tinker Tailor Soldier Spy,2011
Argo,2012
Les Misrables,2012
Life of Pi,2012
Lincoln,2012
Zero Dark Thirty,2012
12 Years a Slave,2013
American Hustle,2013
Captain Phillips,2013
Gravity,2013
Philomena,2013
Boyhood,2014
Birdman or (The Unexpected Virtue of Ignorance),2014
The Grand Budapest Hotel,2014
The Imitation Game,2014
The Theory of Everything,2014
The Revenant,2015
The Big Short,2015
Bridge of Spies,2015
Spotlight,2015
La La Land,2016
Arrival,2016
"I, Daniel Blake",2016
Manchester by the Sea,2016
Moonlight,2016
 After Hours ,1985
Blood Simple ,1985
Smooth Talk,1985
The Trip to Bountiful,1985
 Platoon † ,1986
Blue Velvet ,1986
Down by Law,1986
On Valentine's Day,1986
Salvador ,1986
Stand by Me ,1986
 River's Edge ,1987
