Name,Year,Winner,Nominee
Crouching Tiger  Hidden Dragon,2000,1,1
Before Night Falls,2000,0,1
George Washington,2000,0,1
Ghost Dog: The Way of the Samurai,2000,0,1
Requiem for a Dream,2000,0,1
Memento,2001,1,1
Hedwig and the Angry Inch,2001,0,1
L.I.E.,2001,0,1
Things Behind the Sun,2001,0,1
Waking Life,2001,0,1
Far from Heaven,2002,1,1
The Good Girl,2002,0,1
Lovely & Amazing,2002,0,1
Secretary,2002,0,1
Tully,2002,0,1
Lost in Translation,2003,1,1
American Splendor,2003,0,1
In America,2003,0,1
Raising Victor Vargas,2003,0,1
Shattered Glass,2003,0,1
Sideways,2004,1,1
Baadasssss!,2004,0,1
Kinsey,2004,0,1
Maria Full of Grace,2004,0,1
Primer,2004,0,1
Brokeback Mountain,2005,1,1
Capote,2005,0,1
Good Night and Good Luck,2005,0,1
The Squid and the Whale,2005,0,1
The Three Burials of Melquiades Estrada,2005,0,1
Little Miss Sunshine,2006,1,1
American Gun,2006,0,1
The Dead Girl,2006,0,1
Half Nelson,2006,0,1
Pan's Labyrinth,2006,0,1
Juno,2007,1,1
The Diving Bell and the Butterfly,2007,0,1
I'm Not There,2007,0,1
A Mighty Heart,2007,0,1
Paranoid Park,2007,0,1
The Wrestler,2008,1,1
Ballast,2008,0,1
Frozen River,2008,0,1
Rachel Getting Married,2008,0,1
Wendy and Lucy,2008,0,1
Precious,2009,1,1
(500) Days of Summer,2009,0,1
Amreeka,2009,0,1
The Last Station,2009,0,1
Sin Nombre,2009,0,1
Black Swan,2010,1,1
127 Hours,2010,0,1
Greenberg,2010,0,1
The Kids Are All Right,2010,0,1
Winter's Bone,2010,0,1
The Artist,2010,1,1
50/50,2010,0,1
Beginners,2010,0,1
The Descendants,2010,0,1
Drive,2010,0,1
Take Shelter,2010,0,1
Silver Linings Playbook,2012,1,1
Beasts of the Southern Wild,2012,0,1
Bernie,2012,0,1
Keep the Lights On,2012,0,1
Moonrise Kingdom,2012,0,1
12 Years a Slave,2013,1,1
All Is Lost,2013,0,1
Frances Ha,2013,0,1
Inside Llewyn Davis,2013,0,1
Nebraska,2013,0,1
Birdman,2014,1,1
Boyhood,2014,0,1
Love Is Strange,2014,0,1
Selma,2014,0,1
Whiplash,2014,0,1
Spotlight,2015,0,1
Anomalisa,2015,0,1
Beasts of No Nation,2015,0,1
Carol,2015,0,1
Tangerine,2015,0,1
Moonlight,2016,0,1
American Honey,2016,0,1
Chronic,2016,0,1
Jackie,2016,0,1
Manchester by the Sea,2016,0,1
After Hours,2016,0,1
Crouching Tiger  Hidden Dragon,2000,1,1
Before Night Falls,2000,0,1
George Washington,2000,0,1
Ghost Dog: The Way of the Samurai,2000,0,1
Requiem for a Dream,2000,0,1
Memento,2001,1,1
Hedwig and the Angry Inch,2001,0,1
L.I.E.,2001,0,1
Things Behind the Sun,2001,0,1
Waking Life,2001,0,1
Far from Heaven,2002,1,1
The Good Girl,2002,0,1
Lovely & Amazing,2002,0,1
Secretary,2002,0,1
Tully,2002,0,1
Lost in Translation,2003,1,1
American Splendor,2003,0,1
In America,2003,0,1
Raising Victor Vargas,2003,0,1
Shattered Glass,2003,0,1
Sideways,2004,1,1
Baadasssss!,2004,0,1
Kinsey,2004,0,1
Maria Full of Grace,2004,0,1
Primer,2004,0,1
Brokeback Mountain,2005,1,1
Capote,2005,0,1
Good Night  and Good Luck,2005,0,1
The Squid and the Whale,2005,0,1
The Three Burials of Melquiades Estrada,2005,0,1
Little Miss Sunshine,2006,1,1
American Gun,2006,0,1
The Dead Girl,2006,0,1
Half Nelson,2006,0,1
Pan's Labyrinth,2006,0,1
Juno,2007,1,1
The Diving Bell and the Butterfly,2007,0,1
I'm Not There,2007,0,1
A Mighty Heart,2007,0,1
Paranoid Park,2007,0,1
The Wrestler,2008,1,1
Ballast,2008,0,1
Frozen River,2008,0,1
Rachel Getting Married,2008,0,1
Wendy and Lucy,2008,0,1
Precious,2009,1,1
(500) Days of Summer,2009,0,1
Amreeka,2009,0,1
The Last Station,2009,0,1
Sin Nombre,2009,0,1
Black Swan,2010,1,1
127 Hours,2010,0,1
Greenberg,2010,0,1
The Kids Are All Right,2010,0,1
Winter's Bone,2010,0,1
The Artist,2010,1,1
50/50,2010,0,1
Beginners,2010,0,1
The Descendants,2010,0,1
Drive,2010,0,1
Take Shelter,2010,0,1
Silver Linings Playbook,2012,1,1
Beasts of the Southern Wild,2012,0,1
Bernie,2012,0,1
Keep the Lights On,2012,0,1
Moonrise Kingdom,2012,0,1
12 Years a Slave,2013,1,1
All Is Lost,2013,0,1
Frances Ha,2013,0,1
Inside Llewyn Davis,2013,0,1
Nebraska,2013,0,1
Birdman or (The Unexpected Virtue of Ignorance),2014,1,1
Boyhood,2014,0,1
Love Is Strange,2014,0,1
Selma,2014,0,1
Whiplash,2014,0,1
Spotlight,2015,0,1
Anomalisa,2015,0,1
Beasts of No Nation,2015,0,1
Carol,2015,0,1
Tangerine,2015,0,1
Moonlight,2016,0,1
American Honey,2016,0,1
Chronic,2016,0,1
Jackie,2016,0,1
Manchester by the Sea,2016,0,1
After Hours,2016,0,1
