year,film
1985, After Hours 
1985,Blood Simple 
1985,Smooth Talk
1985,The Trip to Bountiful
1986, Platoon † 
1986,Blue Velvet 
1986,Down by Law
1986,On Valentine's Day
1986,Salvador 
1986,Stand by Me 
1987, River's Edge 
1987,The Big Easy
1987,The Dead 
1987,Matewan
1987,Swimming to Cambodia 
1987,Tough Guys Don't Dance 
1988, Stand and Deliver 
1988,Hairspray 
1988,Patti Rocks
1988,The Thin Blue Line
1988,Torch Song Trilogy 
1989,"Sex, Lies and Videotape"
1989,Drugstore Cowboy 
1989,Heat and Sunlight
1989,Mystery Train
1989,True Love
1990, The Grifters 
1990,Henry: Potrait of a Serial Killer
1990,The Plot Against Harry
1990,Pump Up the Volume 
1990,To Sleep with Anger
1991, Rambling Rose 
1991,City of Hope
1991,Hangin' with the Homeboys
1991,Homicide
1991,My Own Private Idaho 
1992, The Player 
1992,Bad Lieutenant 
1992,Gas Food Lodging
1992,Mississippi Masala
1992,One False Move 
1993, Short Cuts 
1993,Equinox
1993,Much Ado About Nothing 
1993,Ruby in Paradise
1993,The Wedding Banquet
1994, Pulp Fiction ‡ 
1994,Bullets over Broadway 
1994,Eat Drink Man Woman
1994,Mrs. Parker and the Vicious Circle 
1994,Wes Craven's New Nightmare 
1995, Leaving Las Vegas 
1995,The Addiction
1995,Living in Oblivion
1995,Safe
1995,The Secret of Roan Inish 
1996, Fargo ‡ 
1996,Dead Man 
1996,The Funeral
1996,Lone Star 
1996,Welcome to the Dollhouse 
1997, The Apostle 
1997,Chasing Amy 
1997,Loved
1997,Ulee's Gold 
1997,Waiting for Guffman 
1998, Gods and Monsters 
1998,Affliction 
1998,Claire Dolan
1998,A Soldier's Daughter Never Cries
1998,Velvet Goldmine
1999, Election 
1999,Cookie's Fortune 
1999,The Limey 
1999,The Straight Story 
1999,Sugar Town
