Year,Name
1960,The Apartment
1960,The 400 Blows
1960,The Angry Silence
1960,The Adventure
1960,La Dolce Vita
1960,Elmer Gantry
1960,Hiroshima mon amour
1960,Inherit the Wind
1960,Let's Make Love
1960,Black Orpheus
1960,Never on Sunday
1960,Saturday Night and Sunday Morning
1960,Shadows
1960,Spartacus
1960,The Testament of Orpheus
1960,The Trials of Oscar Wilde
1960,Tunes of Glory
1961,Ballad of a Soldier
1961,The Hustler
1961,The World of Apu
1961,The Innocents
1961,Judgment at Nuremberg
1961,The Long and the Short and the Tall
1961,Rocco and His Brothers
1961,The Sundowners
1961,A Taste of Honey
1961,The Hole
1961,Whistle Down the Wind
1962,Lawrence of Arabia
1962,Last Year at Marienbad
1962,Billy Budd
1962,The Elusive Corporal
1962,The Lady with the Dog
1962,The Naked Island
1962,Jules and Jim
1962,A Kind of Loving
1962,The L-Shaped Room
1962,Lola
1962,The Manchurian Candidate
1962,The Miracle Worker
1962,Only Two Can Play
1962,Phaedra
1962,Through a Glass Darkly
1962,Thou Shalt Not Kill
1962,The Long Absence
1962,West Side Story
1963,Tom Jones
1963,8
1963,Billy Liar
1963,David and Lisa
1963,Days of Wine and Roses
1963,"Divorce, Italian Style"
1963,Hud
1963,Knife in the Water
1963,The Four Days of Naples
1963,The Servant
1963,This Sporting Life
1963,To Kill a Mockingbird
1964,Dr. Strangelove
1964,Becket
1964,The Pumpkin Eater
1964,The Train
1965,My Fair Lady
1965,Hamlet
1965,The Hill
1965,The Knack ...and How to Get It
1965,Zorba the Greek
1966,Who's Afraid of Virginia Woolf?
1966,Doctor Zhivago
1966,Morgan  A Suitable Case for Treatment
1966,The Spy Who Came in From The Cold
1967,A Man For All Seasons
1967,Bonnie and Clyde
1967,In the Heat of the Night
1967,A Man and a Woman
1968,The Graduate
2001,2001: A Space Odyssey
2001,Oliver!
2001,Closely Observed Trains
1969,Midnight Cowboy
1969,Oh! What a Lovely War
1969,Women in Love
1969,Z
1970,Butch Cassidy and the Sundance Kid
1970,Kes
1970,M*A*S*H
1970,Ryan's Daughter
1971,Sunday Bloody Sunday
1971,The Go-Between
1971,Death in Venice
1971,Taking Off
1972,Cabaret
1972,A Clockwork Orange
1972,The French Connection
1972,The Last Picture Show
1973,Day for Night
1973,The Day of the Jackal
1973,The Discreet Charm of the Bourgeoisie
1973,Don't Look Now
1974,Lacombe Lucien
1974,Chinatown
1974,The Last Detail
1974,Murder on the Orient Express
1975,Alice Doesn't Live Here Anymore
1975,Barry Lyndon
1975,Dog Day Afternoon
1975,Jaws
1976,One Flew Over the Cuckoo's Nest
1976,All the President's Men
1976,Bugsy Malone
1976,Taxi Driver
1977,Annie Hall
1977,A Bridge Too Far
1977,Network
1977,Rocky
1978,Julia
1978,Close Encounters of the Third Kind
1978,Midnight Express
1978,Star Wars
1979,Manhattan
1979,Apocalypse Now
1979,The China Syndrome
1979,The Deer Hunter
1980,The Elephant Man
1980,Being There
1980,Kagemusha
1980,Kramer vs. Kramer
1981,Chariots of Fire
1981,Atlantic City
1981,The French Lieutenant's Woman
1981,Gregory's Girl
1981,Raiders of the Lost Ark
1982,Gandhi
1982,E.T. the Extra-Terrestrial
1982,Missing
1982,On Golden Pond
1983,Educating Rita
1983,Heat and Dust
1983,Local Hero
1983,Tootsie
1984,The Killing Fields
1984,The Dresser
1984,"Paris, Texas"
1984,A Private Function
1985,The Purple Rose of Cairo
1985,Amadeus
1985,Back to the Future
1985,A Passage to India
1985,Witness
1986,A Room with a View
1986,Hannah and Her Sisters
1986,The Mission
1986,Mona Lisa
1987,Jean de Florette
1987,Cry Freedom
1987,Hope and Glory
1987,Radio Days
1988,The Last Emperor
1988,Au revoir les enfants
1988,Babette's Feast
1988,A Fish Called Wanda
1989,Dead Poets Society
1989,My Left Foot
1989,Shirley Valentine
1989,When Harry Met Sally...
1990,Goodfellas
1990,Crimes and Misdemeanors
1990,Driving Miss Daisy
1990,Pretty Woman
1991,The Commitments
1991,Dances with Wolves
1991,The Silence of the Lambs
1991,Thelma and Louise
1992,Howards End
1992,The Crying Game
1992,The Player
1992,Strictly Ballroom
1992,Unforgiven
1993,Schindler's List
1993,The Piano
1993,The Remains of the Day
1993,Shadowlands
1994,Four Weddings and a Funeral
1994,Forrest Gump
1994,Pulp Fiction
1994,Quiz Show
1995,Sense and Sensibility
1995,Babe
1995,The Madness of King George
1995,The Usual Suspects
1996,The English Patient
1996,Fargo
1996,Secrets and Lies
1996,Shine
1997,The Full Monty
1997,L.A. Confidential
1997,Mrs Brown
1997,Titanic
1998,Shakespeare in Love
1998,Elizabeth
1998,Saving Private Ryan
1998,The Truman Show
1999,American Beauty
1999,East is East
1999,The End of the Affair
1999,The Sixth Sense
1999,The Talented Mr. Ripley
2000,Gladiator
2000,Almost Famous
2000,Billy Elliot
2000,"Crouching Tiger, Hidden Dragon"
2000,Erin Brockovich
2001,The Lord of the Rings: The Fellowship of the Ring
2001,Amlie
2001,A Beautiful Mind
2001,Moulin Rouge!
2001,Shrek
2002,The Pianist
2002,Chicago
2002,Gangs of New York
2002,The Hours
2002,The Lord of the Rings: The Two Towers
2003,The Lord of the Rings: The Return of the King
2003,Big Fish
2003,Cold Mountain
2003,Lost in Translation
2003,Master and Commander: The Far Side of the World
2004,The Aviator
2004,Eternal Sunshine of the Spotless Mind
2004,Finding Neverland
2004,The Motorcycle Diaries
2004,Vera Drake
2005,Brokeback Mountain
2005,Capote
2005,The Constant Gardener
2005,Crash
2005,"Good Night, and Good Luck"
2006,The Queen
2006,Babel
2006,The Departed
2006,The Last King of Scotland
2006,Little Miss Sunshine
2007,Atonement
2007,American Gangster
2007,The Lives of Others
2007,No Country for Old Men
2007,There Will Be Blood
2008,Slumdog Millionaire
2008,The Curious Case of Benjamin Button
2008,Frost/Nixon
2008,Milk
2008,The Reader
2009,The Hurt Locker
2009,Avatar
2009,An Education
2009,Precious
2009,Up in the Air
2010,The King's Speech
2010,Black Swan
2010,Inception
2010,The Social Network
2010,True Grit
2011,The Artist
2011,The Descendants
2011,Drive
2011,The Help
2011,Tinker Tailor Soldier Spy
2012,Argo
2012,Les Misrables
2012,Life of Pi
2012,Lincoln
2012,Zero Dark Thirty
2013,12 Years a Slave
2013,American Hustle
2013,Captain Phillips
2013,Gravity
2013,Philomena
2014,Boyhood
2014,Birdman or (The Unexpected Virtue of Ignorance)
2014,The Grand Budapest Hotel
2014,The Imitation Game
2014,The Theory of Everything
2015,The Revenant
2015,The Big Short
2015,Bridge of Spies
2015,Carol
2015,Spotlight
2016,La La Land
2016,Arrival
2016,"I, Daniel Blake"
2016,Manchester by the Sea
2016,Moonlight
