Name,Spirit best film nominee,Spirit best film winner,Year
 After Hours ,1,1,1985
Blood Simple ,1,0,1985
Smooth Talk,1,0,1985
The Trip to Bountiful,1,0,1985
 Platoon † ,1,1,1986
Blue Velvet ,1,0,1986
Down by Law,1,0,1986
On Valentine's Day,1,0,1986
Salvador ,1,0,1986
Stand by Me ,1,0,1986
 River's Edge ,1,1,1987
The Big Easy,1,0,1987
The Dead ,1,0,1987
Matewan,1,0,1987
Swimming to Cambodia ,1,0,1987
Tough Guys Don't Dance ,1,0,1987
 Stand and Deliver ,1,1,1988
Hairspray ,1,0,1988
Patti Rocks,1,0,1988
The Thin Blue Line,1,0,1988
Torch Song Trilogy ,1,0,1988
"Sex, Lies and Videotape",1,1,1989
Drugstore Cowboy ,1,0,1989
Heat and Sunlight,1,0,1989
Mystery Train,1,0,1989
True Love,1,0,1989
 The Grifters ,1,1,1990
Henry: Potrait of a Serial Killer,1,0,1990
The Plot Against Harry,1,0,1990
Pump Up the Volume ,1,0,1990
To Sleep with Anger,1,0,1990
 Rambling Rose ,1,1,1991
City of Hope,1,0,1991
Hangin' with the Homeboys,1,0,1991
Homicide,1,0,1991
My Own Private Idaho ,1,0,1991
 The Player ,1,1,1992
Bad Lieutenant ,1,0,1992
Gas Food Lodging,1,0,1992
Mississippi Masala,1,0,1992
One False Move ,1,0,1992
 Short Cuts ,1,1,1993
Equinox,1,0,1993
Much Ado About Nothing ,1,0,1993
Ruby in Paradise,1,0,1993
The Wedding Banquet,1,0,1993
 Pulp Fiction ‡ ,1,1,1994
Bullets over Broadway ,1,0,1994
Eat Drink Man Woman,1,0,1994
Mrs. Parker and the Vicious Circle ,1,0,1994
Wes Craven's New Nightmare ,1,0,1994
 Leaving Las Vegas ,1,1,1995
The Addiction,1,0,1995
Living in Oblivion,1,0,1995
Safe,1,0,1995
The Secret of Roan Inish ,1,0,1995
 Fargo ‡ ,1,1,1996
Dead Man ,1,0,1996
The Funeral,1,0,1996
Lone Star ,1,0,1996
Welcome to the Dollhouse ,1,0,1996
 The Apostle ,1,1,1997
Chasing Amy ,1,0,1997
Loved,1,0,1997
Ulee's Gold ,1,0,1997
Waiting for Guffman ,1,0,1997
 Gods and Monsters ,1,1,1998
Affliction ,1,0,1998
Claire Dolan,1,0,1998
A Soldier's Daughter Never Cries,1,0,1998
Velvet Goldmine,1,0,1998
 Election ,1,1,1999
Cookie's Fortune ,1,0,1999
The Limey ,1,0,1999
The Straight Story ,1,0,1999
Sugar Town,1,0,1999
Crouching Tiger  Hidden Dragon,1,1,2000
Before Night Falls,1,0,2000
George Washington,1,0,2000
Ghost Dog: The Way of the Samurai,1,0,2000
Requiem for a Dream,1,0,2000
Memento,1,1,2001
Hedwig and the Angry Inch,1,0,2001
L.I.E.,1,0,2001
Things Behind the Sun,1,0,2001
Waking Life,1,0,2001
Far from Heaven,1,1,2002
The Good Girl,1,0,2002
Lovely & Amazing,1,0,2002
Secretary,1,0,2002
Tully,1,0,2002
Lost in Translation,1,1,2003
American Splendor,1,0,2003
In America,1,0,2003
Raising Victor Vargas,1,0,2003
Shattered Glass,1,0,2003
Sideways,1,1,2004
Baadasssss!,1,0,2004
Kinsey,1,0,2004
Maria Full of Grace,1,0,2004
Primer,1,0,2004
Brokeback Mountain,1,1,2005
Capote,1,0,2005
Good Night and Good Luck,1,0,2005
The Squid and the Whale,1,0,2005
The Three Burials of Melquiades Estrada,1,0,2005
Little Miss Sunshine,1,1,2006
American Gun,1,0,2006
The Dead Girl,1,0,2006
Half Nelson,1,0,2006
Pan's Labyrinth,1,0,2006
Juno,1,1,2007
The Diving Bell and the Butterfly,1,0,2007
I'm Not There,1,0,2007
A Mighty Heart,1,0,2007
Paranoid Park,1,0,2007
The Wrestler,1,1,2008
Ballast,1,0,2008
Frozen River,1,0,2008
Rachel Getting Married,1,0,2008
Wendy and Lucy,1,0,2008
Precious,1,1,2009
(500) Days of Summer,1,0,2009
Amreeka,1,0,2009
The Last Station,1,0,2009
Sin Nombre,1,0,2009
Black Swan,1,1,2010
127 Hours,1,0,2010
Greenberg,1,0,2010
The Kids Are All Right,1,0,2010
Winter's Bone,1,0,2010
The Artist,1,1,2010
50/50,1,0,2010
Beginners,1,0,2010
The Descendants,1,0,2010
Drive,1,0,2010
Take Shelter,1,0,2010
Silver Linings Playbook,1,1,2012
Beasts of the Southern Wild,1,0,2012
Bernie,1,0,2012
Keep the Lights On,1,0,2012
Moonrise Kingdom,1,0,2012
12 Years a Slave,1,1,2013
All Is Lost,1,0,2013
Frances Ha,1,0,2013
Inside Llewyn Davis,1,0,2013
Nebraska,1,0,2013
Birdman,1,1,2014
Boyhood,1,0,2014
Love Is Strange,1,0,2014
Selma,1,0,2014
Whiplash,1,0,2014
Spotlight,1,0,2015
Anomalisa,1,0,2015
Beasts of No Nation,1,0,2015
Carol,1,0,2015
Tangerine,1,0,2015
Moonlight,1,0,2016
American Honey,1,0,2016
Chronic,1,0,2016
Jackie,1,0,2016
Manchester by the Sea,1,0,2016
After Hours,1,0,2016
Crouching Tiger  Hidden Dragon,1,1,2000
Before Night Falls,1,0,2000
George Washington,1,0,2000
Ghost Dog: The Way of the Samurai,1,0,2000
Requiem for a Dream,1,0,2000
Memento,1,1,2001
Hedwig and the Angry Inch,1,0,2001
L.I.E.,1,0,2001
Things Behind the Sun,1,0,2001
Waking Life,1,0,2001
Far from Heaven,1,1,2002
The Good Girl,1,0,2002
Lovely & Amazing,1,0,2002
Secretary,1,0,2002
Tully,1,0,2002
Lost in Translation,1,1,2003
American Splendor,1,0,2003
In America,1,0,2003
Raising Victor Vargas,1,0,2003
Shattered Glass,1,0,2003
Sideways,1,1,2004
Baadasssss!,1,0,2004
Kinsey,1,0,2004
Maria Full of Grace,1,0,2004
Primer,1,0,2004
Brokeback Mountain,1,1,2005
Capote,1,0,2005
Good Night  and Good Luck,1,0,2005
The Squid and the Whale,1,0,2005
The Three Burials of Melquiades Estrada,1,0,2005
Little Miss Sunshine,1,1,2006
American Gun,1,0,2006
The Dead Girl,1,0,2006
Half Nelson,1,0,2006
Pan's Labyrinth,1,0,2006
Juno,1,1,2007
The Diving Bell and the Butterfly,1,0,2007
I'm Not There,1,0,2007
A Mighty Heart,1,0,2007
Paranoid Park,1,0,2007
The Wrestler,1,1,2008
Ballast,1,0,2008
Frozen River,1,0,2008
Rachel Getting Married,1,0,2008
Wendy and Lucy,1,0,2008
Precious,1,1,2009
(500) Days of Summer,1,0,2009
Amreeka,1,0,2009
The Last Station,1,0,2009
Sin Nombre,1,0,2009
Black Swan,1,1,2010
127 Hours,1,0,2010
Greenberg,1,0,2010
The Kids Are All Right,1,0,2010
Winter's Bone,1,0,2010
The Artist,1,1,2010
50/50,1,0,2010
Beginners,1,0,2010
The Descendants,1,0,2010
Drive,1,0,2010
Take Shelter,1,0,2010
Silver Linings Playbook,1,1,2012
Beasts of the Southern Wild,1,0,2012
Bernie,1,0,2012
Keep the Lights On,1,0,2012
Moonrise Kingdom,1,0,2012
12 Years a Slave,1,1,2013
All Is Lost,1,0,2013
Frances Ha,1,0,2013
Inside Llewyn Davis,1,0,2013
Nebraska,1,0,2013
Birdman,1,1,2014
Boyhood,1,0,2014
Love Is Strange,1,0,2014
Selma,1,0,2014
Whiplash,1,0,2014
Spotlight,1,0,2015
Anomalisa,1,0,2015
Beasts of No Nation,1,0,2015
Carol,1,0,2015
Tangerine,1,0,2015
Moonlight,1,0,2016
American Honey,1,0,2016
Chronic,1,0,2016
Jackie,1,0,2016
Manchester by the Sea,1,0,2016
After Hours,1,0,2016
